Receive time,Appliance,Source address,Destination address,Source Port,Destination port,Protocol,Application,Type,Rule,Egress interface,Ingress interface,From Zone,To Zone,Source country,Destination country,User,Packets Received,Packets Sent,Received Bytes,Transmitted Bytes,Session duration,Reverse Rate (Bps),Forward Rate (Bps)
2017-10-01T18:21:09Z,Branch01-OneEight,172.19.10.27,54.251.250.54,47408,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,7,10,2206,1052,284,7767.61,3704.23
2017-10-01T18:29:45Z,Branch01-OneEight,188.138.33.41,43.224.129.106,55776,3306,tcp,unknown_tcp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,Germany,Japan,unknown,0,1,0,40,0,0,0
2017-10-01T18:29:45Z,Branch01-OneEight,177.102.15.45,43.224.129.104,48611,23,tcp,unknown_tcp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,Brazil,Japan,unknown,0,1,0,40,0,0,0
2017-10-01T18:21:09Z,Branch01-OneEight,172.19.10.31,54.251.250.54,54792,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,143,12510.49,3475.52
2017-10-01T18:21:09Z,Branch01-OneEight,172.19.10.31,54.251.250.54,45836,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,152,11769.74,3269.74
2017-10-01T18:21:09Z,Branch01-OneEight,52.172.205.76,192.168.2.80,41775,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,213,178,3,71000,59333.33
2017-10-01T18:21:09Z,Branch01-OneEight,52.172.205.76,192.168.2.80,36508,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,154,140,5,30800,28000
2017-10-01T18:21:09Z,Branch01-OneEight,52.172.205.76,192.168.2.80,34180,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,211,178,3,70333.33,59333.33
2017-10-01T18:21:09Z,Branch01-OneEight,52.172.205.76,192.168.2.80,40172,161,udp,snmp,,R1,vni-0/2.0,vni-0/1.0,Intf-WAN1-Zone,Intf-LAN-Zone,United States,,unknown,1,1,190,178,3,63333.33,59333.33
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.203.163,43899,443,tcp,google_gen,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,15,12,12503,1476,409,30569.68,3608.8
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,74.125.130.188,40024,5228,tcp,gtalk,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,6,6,4466,546,153,29189.54,3568.63
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,8.8.8.8,4836,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,107,62,8,13375,7750
2017-10-01T18:29:45Z,Branch01-OneEight,220.178.71.156,43.224.128.218,56440,1433,tcp,unknown_tcp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,120,0,5514,65,0,84830.77
2017-10-01T18:29:45Z,Branch01-OneEight,42.93.23.225,43.224.128.220,21655,23,tcp,unknown_tcp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,121,0,5560,89,0,62471.91
2017-10-01T18:20:36Z,Branch01-OneEight,172.19.10.6,8.8.8.8,28567,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,179,65,8,22375,8125
